text,true_emotion,predicted_emotion
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
@DJ_JeanFranko growl!!!,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
Just seeing Alex revells face gets me angry,anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
@danbloom1 beware the fury of a weak king,anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,sadness
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
@TrussElise Obama must be fuming.. lol,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger
"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another",fear,sadness
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,joy
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,fear
"Really.....#Jumanji 2....w/ The Rock, Jack Black, and Kevin Hart...are you kidding me! WTF! #ThisIsATerribleIdea #horrible",fear,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,fear,sadness
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,fear
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,fear,fear
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,fear,fear
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
"But I was so intrigued by your style, boy.Always been a sucker for a wild boy #alarm -@AnneMarieIAm",fear,joy
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,fear
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
A hearty Jonza! to all my friends and follower.,joy,joy
"@PhilGlutting Hey There Phil Glutting thank you for following us, it's appreciated :) ",joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,sadness
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,sadness
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
@kwelbyroberts they will come and you will rejoice at their arrival.,joy,joy
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
